name,type,status,application_service,env,security,netcolor,dcloc,loc,os,ips,itsgroup,its_1,maint_vndr,maintexp,maint_sla,verified,impusers
GA-CICD-646P,VM,Retired,CI/CD,Test,ITAR,Blue,HSV-DC1,"San Diego, CA",VMware ESXi 8.0 U3,10.88.174.162,ITS-Security,K. Chen,NetApp SupportEdge,2026-02-03 00:00:00,NBD,2026-05-11 00:00:00,278
GA-VDI-035A,Server,Maintenance,VDI,Dev,Restricted,Blue,PMD-DC1,"San Diego, CA",Windows Server 2019,"10.24.38.185, 10.24.215.98",ITS-Virtualization,K. Chen,SHI,2030-01-06 00:00:00,8x5,2026-04-13 00:00:00,241
GA-CADPLM-828B,VM,Maintenance,CAD/PLM,DR,ITAR,Red,PWY-DC1,Remote/Colo,Cisco IOS 17.9,10.64.150.246,ITS-EndUser,N. Clark,CDW,2027-10-25 00:00:00,24x7x2,2026-04-09 00:00:00,29
GA-PRINTS-989B,Appliance,Active,Print Services,QA,Restricted,Blue,PMD-DC1,"Huntsville, AL",Windows Server 2022,10.16.25.178,ITS-Virtualization,M. Williams,Dell ProSupport,2030-03-24 00:00:00,Best Effort,2026-04-24 00:00:00,293
GA-HRPORT-595B,Server,Provisioning,HR Portal,QA,CUI,Blue,AWS-GovCloud,"San Diego, CA",Ubuntu 22.04 LTS,10.64.179.146,ITS-Virtualization,P. Anderson,Insight,2026-02-24 00:00:00,NBD,2026-07-30 00:00:00,202
GA-SHAREP-302P,Network Device,Retired,SharePoint,Prod,Restricted,Yellow,SD-DC2,"Palmdale, CA",VMware ESXi 7.0 U3,"10.56.44.136, 10.56.31.61",ITS-Storage,T. Nguyen,NetApp SupportEdge,2026-12-29 00:00:00,24x7x4,2026-03-25 00:00:00,357
GA-VDI-805B,Storage Array,Active,VDI,QA,ITAR,Yellow,SD-DC2,Remote/Colo,RHEL 9.5,10.72.28.100,ITS-Network,J. Martinez,HPE Pointnext,2026-12-24 00:00:00,8x5,2026-03-08 00:00:00,387
GA-EMAILG-164B,Storage Array,Active,Email Gateway,Prod,Confidential,Yellow,AWS-GovCloud,"Poway, CA",Windows Server 2019,10.32.73.145,ITS-EndUser,H. Lewis,CDW,2029-06-28 00:00:00,24x7x4,2026-03-09 00:00:00,359
GA-BADGEA-030B,Server,Active,Badge/Access Control,Dev,CUI,Blue,HSV-DC1,"Poway, CA",RHEL 9.5,10.72.87.148,ITS-Virtualization,A. Garcia,HPE Pointnext,2029-12-18 00:00:00,Best Effort,2026-08-05 00:00:00,25
GA-BADGEA-318D,Appliance,Decommissioned,Badge/Access Control,Prod,ITAR,Red,HSV-DC1,"San Diego, CA",Ubuntu 24.04 LTS,10.24.105.24,ITS-Virtualization,P. Anderson,NetApp SupportEdge,2028-11-03 00:00:00,24x7x4,2026-06-07 00:00:00,93
ZCPCA14,VM,Decommissioned,File Services,Prod,ITAR,Yellow,AWS-GovCloud,"Palmdale, CA",Appliance OS 5.1,10.80.75.4,ITS-Security,C. Davis,Cisco SmartNet,2029-06-06 00:00:00,8x5,2026-04-05 00:00:00,287
GA-PRINTS-369D,VM,Active,Print Services,DR,Unclassified,Yellow,PWY-DC1,Remote/Colo,RHEL 9.5,10.64.26.223,ITS-EndUser,N. Clark,HPE Pointnext,2027-07-31 00:00:00,Best Effort,2026-02-07 00:00:00,248
GA-TELEME-497P,VM,Active,Telemetry Ingest,DR,Confidential,Yellow,SD-DC1,"Huntsville, AL",Cisco IOS 17.9,10.80.0.18,ITS-Security,C. Davis,NetApp SupportEdge,2026-06-26 00:00:00,24x7x4,2026-07-23 00:00:00,236
GA-DOMAIN-608A,Application,Active,Domain Services,Prod,Public,Black,PMD-DC1,"Poway, CA",Ubuntu 24.04 LTS,10.32.92.19,ITS-Storage,E. Robinson,Insight,2029-11-30 00:00:00,24x7x2,2026-06-21 00:00:00,163
GA-HRPORT-488,VM,Maintenance,HR Portal,Test,Restricted,Red,SD-DC2,"Tupelo, MS",Appliance OS 5.1,10.96.13.78,ITS-AppSupport,E. Robinson,SHI,2025-10-23 00:00:00,8x5,2026-02-17 00:00:00,198
GA-DATABA-578,Network Device,Active,Database Services,Stage,Confidential,Blue,SD-DC2,"Huntsville, AL",VMware ESXi 8.0 U3,"10.40.250.179, 10.40.71.159",ITS-Security,E. Robinson,Dell ProSupport,2028-12-11 00:00:00,24x7x2,2026-07-07 00:00:00,376
LTZQKI46,Network Device,Active,Monitoring,Prod,Restricted,Green,AWS-GovCloud,"Huntsville, AL",Appliance OS 5.1,10.48.132.143,ITS-EndUser,S. Johnson,CDW,2029-08-08 00:00:00,8x5,2026-03-03 00:00:00,258
GA-DATABA-265D,VM,Retired,Database Services,Prod,ITAR,Red,SD-DC2,"San Diego, CA",Windows Server 2025,10.8.229.93,ITS-Infrastructure,B. Thomas,Dell ProSupport,2029-09-01 00:00:00,8x5,2026-07-23 00:00:00,293
NTHGQ81,Server,Provisioning,Web Hosting,Test,Confidential,Black,HSV-DC1,"Poway, CA",VMware ESXi 8.0 U3,10.64.93.161,ITS-Security,M. Williams,Cisco SmartNet,2029-05-28 00:00:00,24x7x4,2026-04-15 00:00:00,349
GA-MONITO-788B,Server,Active,Monitoring,QA,Public,Red,HSV-DC1,Remote/Colo,VMware ESXi 7.0 U3,10.16.248.189,ITS-Infrastructure,D. Kim,NetApp SupportEdge,2029-02-14 00:00:00,8x5,2026-04-24 00:00:00,122
EIYY63,VM,Active,File Services,Prod,Confidential,Black,PMD-DC1,"San Diego, CA",RHEL 9.4,10.48.70.161,ITS-Infrastructure,B. Thomas,SHI,2026-02-06 00:00:00,NBD,2026-03-22 00:00:00,122
GA-ERP-014P,Appliance,Decommissioned,ERP,Prod,Restricted,Blue,PMD-DC1,"Poway, CA",RHEL 8.10,10.32.209.48,ITS-Storage,B. Thomas,Cisco SmartNet,2028-02-11 00:00:00,24x7x4,2026-06-03 00:00:00,151
GA-CADPLM-895,VM,Provisioning,CAD/PLM,Test,ITAR,Black,PMD-DC1,Remote/Colo,Windows Server 2019,10.24.10.200,ITS-Network,A. Garcia,HPE Pointnext,2028-06-02 00:00:00,24x7x4,2026-03-06 00:00:00,276
GA-EMAILG-214,Server,Provisioning,Email Gateway,DR,CUI,Blue,PMD-DC1,"Palmdale, CA",RHEL 9.4,10.96.157.210,ITS-Storage,J. Martinez,Dell ProSupport,2029-01-02 00:00:00,8x5,2026-03-01 00:00:00,373
GA-VDI-215B,Server,Active,VDI,Prod,Unclassified,Yellow,AWS-GovCloud,"Huntsville, AL",RHEL 8.10,"10.40.173.174, 10.40.135.188",ITS-Network,P. Anderson,SHI,2028-11-09 00:00:00,NBD,2026-03-06 00:00:00,315
GA-BACKUP-465A,Server,Active,Backup,QA,Confidential,Red,SD-DC2,"Poway, CA",VMware ESXi 7.0 U3,10.56.194.24,ITS-Storage,K. Chen,Cisco SmartNet,2025-12-10 00:00:00,24x7x4,2026-06-13 00:00:00,389
GA-BADGEA-337D,Server,Decommissioned,Badge/Access Control,Prod,Restricted,Black,AWS-GovCloud,"Poway, CA",Cisco IOS 17.9,10.72.137.231,ITS-EndUser,T. Nguyen,HPE Pointnext,2028-08-09 00:00:00,8x5,2026-05-11 00:00:00,202
GA-DOMAIN-951,Server,Active,Domain Services,Stage,Public,Blue,HSV-DC1,"Poway, CA",Cisco IOS 17.9,10.40.203.172,ITS-Storage,A. Garcia,HPE Pointnext,2027-05-17 00:00:00,NBD,2026-06-19 00:00:00,356
GA-DNSDHC-189D,VM,Active,DNS/DHCP,Test,Unclassified,Red,SD-DC2,Remote/Colo,RHEL 9.4,10.24.129.172,ITS-Infrastructure,N. Clark,Dell ProSupport,2029-12-03 00:00:00,8x5,2026-06-14 00:00:00,347
GA-HRPORT-626B,Server,Active,HR Portal,Dev,Restricted,Red,PMD-DC1,"Huntsville, AL",RHEL 9.5,10.96.223.80,ITS-Infrastructure,A. Garcia,HPE Pointnext,2028-12-04 00:00:00,Best Effort,2026-07-09 00:00:00,307
GA-DOMAIN-407B,VM,Decommissioned,Domain Services,DR,Restricted,Green,SD-DC1,"Tupelo, MS",VMware ESXi 7.0 U3,10.64.138.100,ITS-AppSupport,K. Chen,Dell ProSupport,2028-11-14 00:00:00,24x7x2,2026-04-26 00:00:00,172
GA-BACKUP-151B,VM,Active,Backup,Stage,CUI,Yellow,HSV-DC1,"San Diego, CA",Ubuntu 24.04 LTS,10.8.52.238,ITS-EndUser,K. Chen,CDW,2027-04-08 00:00:00,24x7x2,2026-03-09 00:00:00,50
GA-BACKUP-682B,Application,Active,Backup,Prod,Public,Yellow,TUP-DC1,"Palmdale, CA",Appliance OS 5.1,"10.8.7.235, 10.8.6.191",ITS-Storage,E. Robinson,HPE Pointnext,2029-10-04 00:00:00,NBD,2026-02-14 00:00:00,193
GA-TELEME-216,Storage Array,Active,Telemetry Ingest,Prod,Unclassified,Red,TUP-DC1,"Tupelo, MS",Cisco IOS 17.9,10.56.35.104,ITS-AppSupport,C. Davis,Insight,2029-11-26 00:00:00,NBD,2026-06-30 00:00:00,325
GA-DATABA-031,Appliance,Provisioning,Database Services,Prod,Restricted,Black,HSV-DC1,"Palmdale, CA",RHEL 8.10,10.72.230.148,ITS-Virtualization,K. Chen,Insight,2028-07-09 00:00:00,24x7x2,2026-03-20 00:00:00,332
GA-ERP-442,VM,Provisioning,ERP,Prod,Public,Red,TUP-DC1,"Tupelo, MS",Cisco IOS 17.9,10.32.14.239,ITS-Security,N. Clark,NetApp SupportEdge,2026-07-10 00:00:00,24x7x2,2026-05-22 00:00:00,41
NBQDHMBL95,Server,Retired,Payroll,DR,Restricted,Blue,SD-DC2,"Tupelo, MS",RHEL 9.5,10.8.70.239,ITS-AppSupport,M. Williams,Insight,2026-02-16 00:00:00,Best Effort,2026-03-15 00:00:00,60
GA-PAYROL-864B,Server,Maintenance,Payroll,QA,Restricted,Yellow,HSV-DC1,"Palmdale, CA",Windows Server 2022,10.8.207.78,ITS-Network,P. Anderson,NetApp SupportEdge,2029-10-21 00:00:00,24x7x2,2026-05-16 00:00:00,89
GA-HRPORT-387,VM,Active,HR Portal,Test,ITAR,Yellow,HSV-DC1,"San Diego, CA",RHEL 8.10,10.16.56.62,ITS-Security,P. Anderson,NetApp SupportEdge,2026-03-03 00:00:00,24x7x4,2026-06-13 00:00:00,325
GA-LICENS-174D,VM,Provisioning,License Server,Prod,Restricted,Black,HSV-DC1,"Poway, CA",Windows Server 2025,"10.32.65.119, 10.32.47.243",ITS-Infrastructure,A. Garcia,Insight,2028-01-29 00:00:00,24x7x2,2026-06-06 00:00:00,223
GA-FILESE-449D,Appliance,Active,File Services,DR,CUI,Red,HSV-DC1,"Palmdale, CA",Windows Server 2022,10.40.71.180,ITS-EndUser,A. Garcia,HPE Pointnext,2028-01-10 00:00:00,Best Effort,2026-07-31 00:00:00,347
IWART80,VM,Active,Web Hosting,DR,Restricted,Black,AWS-GovCloud,Remote/Colo,Ubuntu 22.04 LTS,"10.56.1.19, 10.56.190.3",ITS-Infrastructure,B. Thomas,Cisco SmartNet,2030-01-12 00:00:00,Best Effort,2026-08-03 00:00:00,313
GA-SERVIC-944P,Application,Maintenance,ServiceNow MID,Dev,Confidential,Black,AWS-GovCloud,Remote/Colo,VMware ESXi 7.0 U3,"10.88.28.184, 10.88.186.18",ITS-EndUser,N. Clark,HPE Pointnext,2027-09-25 00:00:00,8x5,2026-05-10 00:00:00,384
GA-CICD-150A,Network Device,Decommissioned,CI/CD,Test,Confidential,Red,SD-DC2,"Poway, CA",Ubuntu 22.04 LTS,"10.80.220.39, 10.80.39.219",ITS-Storage,K. Chen,NetApp SupportEdge,2028-05-04 00:00:00,24x7x2,2026-03-12 00:00:00,33
GA-CICD-015D,Network Device,Decommissioned,CI/CD,Prod,Unclassified,Black,SD-DC1,"Palmdale, CA",RHEL 9.4,10.40.103.6,ITS-Network,B. Thomas,Cisco SmartNet,2028-02-09 00:00:00,8x5,2026-05-31 00:00:00,200
GA-MONITO-679B,VM,Provisioning,Monitoring,Prod,Restricted,Green,SD-DC1,"San Diego, CA",VMware ESXi 7.0 U3,10.24.206.134,ITS-AppSupport,K. Chen,SHI,2026-12-21 00:00:00,24x7x4,2026-06-04 00:00:00,280
GA-CICD-208D,Server,Active,CI/CD,Prod,Restricted,Green,AWS-GovCloud,"San Diego, CA",VMware ESXi 7.0 U3,"10.48.49.176, 10.48.182.86",ITS-Storage,N. Clark,Cisco SmartNet,2029-07-16 00:00:00,24x7x2,2026-04-14 00:00:00,22
GA-CICD-045P,Appliance,Maintenance,CI/CD,Prod,CUI,Black,SD-DC1,"Palmdale, CA",VMware ESXi 7.0 U3,10.96.131.243,ITS-EndUser,M. Williams,HPE Pointnext,2025-12-05 00:00:00,Best Effort,2026-05-17 00:00:00,67
GA-DOMAIN-993P,Application,Provisioning,Domain Services,DR,CUI,Yellow,TUP-DC1,"Huntsville, AL",Cisco IOS 17.9,10.8.69.13,ITS-Storage,T. Nguyen,NetApp SupportEdge,2030-06-04 00:00:00,Best Effort,2026-02-16 00:00:00,72
GA-HRPORT-002D,Appliance,Active,HR Portal,Prod,Unclassified,Green,PMD-DC1,"Tupelo, MS",Windows Server 2016,10.64.76.179,ITS-Virtualization,E. Robinson,Dell ProSupport,2027-06-25 00:00:00,24x7x2,2026-05-16 00:00:00,309
LOGDA31,Appliance,Active,Web Hosting,DR,CUI,Blue,HSV-DC1,"Huntsville, AL",Cisco IOS 17.9,10.8.187.193,ITS-EndUser,A. Garcia,Insight,2026-05-04 00:00:00,24x7x4,2026-04-08 00:00:00,154
GBNQBIT82,VM,Active,Telemetry Ingest,Prod,Confidential,Green,PMD-DC1,Remote/Colo,RHEL 9.4,10.72.181.230,ITS-Security,T. Nguyen,HPE Pointnext,2026-04-10 00:00:00,NBD,2026-06-02 00:00:00,349
SOEDXRV87,Server,Maintenance,Email Gateway,QA,Public,Black,SD-DC2,"Tupelo, MS",Windows Server 2019,"10.32.45.147, 10.32.121.218",ITS-Security,A. Garcia,Insight,2030-04-12 00:00:00,24x7x2,2026-03-30 00:00:00,364
GA-EMAILG-665D,VM,Maintenance,Email Gateway,Test,Unclassified,Red,AWS-GovCloud,"Palmdale, CA",RHEL 8.10,10.96.221.83,ITS-Virtualization,S. Johnson,Cisco SmartNet,2029-02-26 00:00:00,8x5,2026-06-08 00:00:00,250
GA-MONITO-809,Server,Active,Monitoring,Stage,Confidential,Green,HSV-DC1,"Huntsville, AL",Ubuntu 24.04 LTS,"10.56.2.151, 10.56.118.124",ITS-Virtualization,B. Thomas,Dell ProSupport,2026-01-07 00:00:00,Best Effort,2026-05-26 00:00:00,273
OLRW67,Storage Array,Maintenance,HR Portal,Prod,ITAR,Red,SD-DC1,"Tupelo, MS",Cisco IOS 17.9,10.24.226.49,ITS-Infrastructure,R. Patel,Insight,2025-11-25 00:00:00,24x7x4,2026-02-19 00:00:00,226
UXPJKD11,Application,Active,HR Portal,DR,Public,Black,PMD-DC1,"Tupelo, MS",Windows Server 2025,10.32.79.86,ITS-Security,T. Nguyen,Dell ProSupport,2027-09-03 00:00:00,24x7x4,2026-07-24 00:00:00,218
GA-SHAREP-202B,VM,Active,SharePoint,DR,ITAR,Yellow,SD-DC1,"Poway, CA",Ubuntu 22.04 LTS,10.88.117.168,ITS-Network,L. Brown,Cisco SmartNet,2028-09-05 00:00:00,24x7x4,2026-06-03 00:00:00,352
NJPQVP93,Server,Active,Monitoring,Stage,CUI,Blue,HSV-DC1,"Palmdale, CA",Windows Server 2022,10.48.16.237,ITS-Virtualization,E. Robinson,HPE Pointnext,2027-06-30 00:00:00,8x5,2026-02-10 00:00:00,16
GA-SHAREP-949P,VM,Decommissioned,SharePoint,Prod,ITAR,Yellow,AWS-GovCloud,"Palmdale, CA",Ubuntu 22.04 LTS,10.16.168.246,ITS-Network,T. Nguyen,CDW,2028-05-04 00:00:00,24x7x2,2026-06-05 00:00:00,345
QAFAJ39,Network Device,Active,Payroll,Prod,Unclassified,Red,PMD-DC1,"San Diego, CA",Appliance OS 5.1,10.40.149.36,ITS-AppSupport,A. Garcia,Dell ProSupport,2029-12-09 00:00:00,8x5,2026-03-30 00:00:00,368
WBVIUU16,Server,Active,ERP,QA,Unclassified,Blue,PWY-DC1,"Huntsville, AL",RHEL 9.5,"10.32.175.181, 10.32.150.37",ITS-EndUser,K. Chen,Dell ProSupport,2026-07-14 00:00:00,Best Effort,2026-07-25 00:00:00,110
GA-DOMAIN-883D,VM,Active,Domain Services,Test,CUI,Yellow,PWY-DC1,"Palmdale, CA",Cisco IOS 17.9,"10.80.31.239, 10.80.189.41",ITS-EndUser,A. Garcia,Cisco SmartNet,2028-06-24 00:00:00,24x7x4,2026-05-02 00:00:00,95
RPQDZGD21,Storage Array,Active,HR Portal,QA,Confidential,Blue,SD-DC2,"Tupelo, MS",VMware ESXi 8.0 U3,10.16.178.157,ITS-EndUser,P. Anderson,Dell ProSupport,2027-08-15 00:00:00,NBD,2026-02-14 00:00:00,5
GA-BADGEA-107P,VM,Provisioning,Badge/Access Control,Stage,ITAR,Red,PWY-DC1,"San Diego, CA",Windows Server 2016,10.8.150.2,ITS-Storage,J. Martinez,SHI,2026-11-18 00:00:00,24x7x4,2026-06-03 00:00:00,71
GA-CADPLM-371B,VM,Decommissioned,CAD/PLM,Test,CUI,Green,AWS-GovCloud,"Poway, CA",Windows Server 2022,"10.96.159.62, 10.96.162.183",ITS-Storage,D. Kim,NetApp SupportEdge,2027-09-29 00:00:00,8x5,2026-05-22 00:00:00,182
WKKE14,Server,Decommissioned,CI/CD,Dev,Public,Red,PWY-DC1,"Palmdale, CA",VMware ESXi 8.0 U3,10.64.109.240,ITS-Infrastructure,C. Davis,SHI,2028-10-25 00:00:00,NBD,2026-03-01 00:00:00,157
GA-SHAREP-583A,VM,Maintenance,SharePoint,QA,Confidential,Yellow,PMD-DC1,"Palmdale, CA",Appliance OS 5.1,10.96.229.129,ITS-Infrastructure,E. Robinson,NetApp SupportEdge,2029-09-10 00:00:00,Best Effort,2026-07-26 00:00:00,263
GA-DATABA-803B,Appliance,Active,Database Services,Prod,ITAR,Red,SD-DC1,"Poway, CA",Appliance OS 5.1,"10.64.131.66, 10.64.208.71",ITS-Virtualization,L. Brown,Dell ProSupport,2028-09-21 00:00:00,Best Effort,2026-02-08 00:00:00,385
GA-MONITO-902A,Appliance,Provisioning,Monitoring,DR,Restricted,Blue,PMD-DC1,"Tupelo, MS",Windows Server 2025,"10.24.63.21, 10.24.248.169",ITS-Network,P. Anderson,NetApp SupportEdge,2030-04-30 00:00:00,NBD,2026-07-12 00:00:00,52
